ردیف	کد کالا	شرح	برند 	شاخه 	تولید کننده	درصد تخفیف	روش پرداخت	قیمت 
1	2000003	سبد وسط زميني ارتفاع 85-60 يونيت 20(5117) پلاتين 	پلاتین	سبد	پلاتین	20%	20روز	6,065,000
2	2000004	سبد وسط زميني ارتفاع 85-60 يونيت 30(5111) پلاتين 	پلاتین	سبد	پلاتین	20%	20روز	6,465,000
3	2000005	سبد وسط زميني ارتفاع 85-60 يونيت 35(5112) پلاتين 	پلاتین	سبد	پلاتین	20%	20روز	6,615,000
4	2000006	سبد وسط زميني ارتفاع 85-60 يونيت 45(5113) پلاتين 	پلاتین	سبد	پلاتین	20%	20روز	6,815,000
5	2000007	سبد وسط زميني ارتفاع 85-60 يونيت 40(5115) پلاتين 	پلاتین	سبد	پلاتین	20%	20روز	7,035,000
6	2000008	سبد وسط زميني ارتفاع 85-60 يونيت 50(5116) پلاتين 	پلاتین	سبد	پلاتین	20%	20روز	7,255,000
7	2000009	سبد وسط زميني ارتفاع 85-60 يونيت 55(5114) پلاتين 	پلاتین	سبد	پلاتین	20%	20روز	7,475,000
8	2000010	سبد وسط ارتفاع 90-110 يونيت 20(5127) پلاتين 	پلاتین	سبد	پلاتین	20%	20روز	2,151,000
9	2000011	سبد وسط ارتفاع  125-110 يونيت 30(5131) پلاتين 	پلاتین	سبد	پلاتین	20%	20روز	2,745,000
10	2000012	سبد وسط ارتفاع  125-110 يونيت 35(5132) پلاتين 	پلاتین	سبد	پلاتین	20%	20روز	2,976,000
11	2000013	سبد وسط ارتفاع  125-110 يونيت 40(5135) پلاتين 	پلاتین	سبد	پلاتین	20%	20روز	3,276,000
12	2000014	سبد وسط ارتفاع  125-110 يونيت 45(5133) پلاتين 	پلاتین	سبد	پلاتین	20%	20روز	3,606,000
13	2000015	سبد وسط ارتفاع  125-110 يونيت 50(5136) پلاتين 	پلاتین	سبد	پلاتین	20%	20روز	3,936,000
14	2000016	سبد وسط ارتفاع  125-110 يونيت 55(5134) پلاتين 	پلاتین	سبد	پلاتین	20%	20روز	4,266,000
15	2000017	سبد وسط ارتفاع 125-140 يونيت 20(5147) پلاتين 	پلاتین	سبد	پلاتین	20%	20روز	2,868,000
16	2000018	سبد وسط ارتفاع 125-140 يونيت 30(5141)  پلاتين 	پلاتین	سبد	پلاتین	20%	20روز	3,660,000
17	2000019	سبد وسط ارتفاع 125-140 يونيت 35(5142)  پلاتين 	پلاتین	سبد	پلاتین	20%	20روز	3,968,000
18	2000020	سبد وسط ارتفاع 125-140 يونيت 40(5145) پلاتين 	پلاتین	سبد	پلاتین	20%	20روز	4,368,000
19	2000021	سبد ارتفاع 125-140 يونيت 45  پلاتين 	پلاتین	سبد	پلاتین	20%	20روز	4,808,000
20	2000022	سبد وسط ارتفاع 125-140 يونيت50(5146)  پلاتين 	پلاتین	سبد	پلاتین	20%	20روز	5,248,000
21	2000023	سبد وسط ارتفاع 125-140 يونيت 55(5144)  پلاتين 	پلاتین	سبد	پلاتین	20%	20روز	5,688,000
22	2000024	سبد وسط ارتفاع 125-140 يونيت 45(5143) پلاتين 	پلاتین	سبد	پلاتین	20%	20روز	4,808,000
